date, pm25, pm10, o3, no2, so2, co
2019/11/11, 23, 10, 1, 6, , 
2019/11/12, 20, 7, 4, 7, , 
2019/11/13, 20, 7, 1, 6, , 
2019/11/14, 31, 5, , 2, , 
2019/11/15, 8, 9, 2, 6, , 
2019/11/17, 15, 5, 11, 3, , 
2019/11/18, 15, 5, 7, 3, , 
2019/11/19, 14, 6, 5, 5, , 
2019/11/20, 17, 8, 2, 6, , 
2019/11/21, 18, 12, 1, 6, , 
2019/11/22, 28, 12, 1, 5, , 
2019/11/23, 38, 6, 8, 3, , 
2019/11/24, 22, 6, 8, 3, , 
2019/11/25, 12, 4, 8, 5, , 
2019/11/26, 13, 5, 8, 4, , 
2019/11/27, 12, 6, 14, 2, , 
2019/11/28, 22, 14, 7, 9, , 
2019/11/29, 31, 19, 3, 8, , 
2019/11/30, 29, 15, 2, 7, , 
2019/12/1, 32, 10, 5, 5, , 
2019/12/2, 22, 8, , 5, , 
2019/12/3, 20, 5, 2, 5, , 
2019/12/4, 20, 7, 6, 7, , 
2019/12/5, 20, 8, 1, 7, , 
2019/12/6, 22, 10, 1, 8, , 
2019/12/7, 35, 5, 7, 4, , 
2019/12/8, 12, 8, 2, 3, , 
2019/12/9, 11, 11, 1, 4, , 
2019/12/10, 8, 5, 3, 3, , 
2019/12/11, 15, 3, 8, 3, , 
2019/12/13, 14, 4, 8, 5, , 
2019/12/14, 15, 4, 5, 5, , 
2019/12/15, 22, 4, 3, 3, , 
2019/12/16, 12, 4, 6, 4, , 
2019/12/17, 7, 4, 8, 4, , 
2019/12/18, 11, 4, 10, 4, , 
2019/12/19, 16, 4, 11, 4, , 
2019/12/20, 11, 4, 6, 6, , 
2019/12/21, 17, 4, 10, 4, , 
2019/12/22, 12, 4, 7, 4, , 
2019/12/23, 9, 4, 4, 4, , 
2019/12/24, 11, 4, 7, 3, , 
2019/12/25, 11, 5, 5, 3, , 
2019/12/26, 20, 4, 8, 3, , 
2019/12/27, 9, 4, 6, 3, , 
2019/12/28, 15, 4, 9, 3, , 
2019/12/29, 10, , 9, 6, , 
2019/12/30, 12, , , , , 
2019/7/2, 32, 6, 8, 3, , 
2019/7/3, 22, 7, 8, 4, , 
2019/7/4, 26, 9, 8, 4, , 
2019/7/5, 31, 11, 4, 5, , 
2019/7/6, 35, 7, 6, 3, , 
2019/7/7, 19, 7, 7, 2, , 
2019/7/8, 16, 10, 6, 9, , 
2019/7/9, 37, 13, 8, 10, , 
2019/7/10, 47, 6, 6, 3, , 
2019/7/11, 22, 7, 5, 8, , 
2019/7/12, 32, 10, 5, 14, , 
2019/7/13, 39, 9, 7, 4, , 
2019/7/14, 29, 9, 7, 5, , 
2019/7/15, 26, 11, 8, 8, , 
2019/7/16, 43, 10, 7, 7, , 
2019/7/17, 44, 6, 5, 4, , 
2019/7/18, 21, 7, 8, 8, , 
2019/7/19, 39, 7, 6, 6, , 
2019/7/20, 31, 8, 5, 9, , 
2019/7/21, 41, 14, 8, 8, , 
2019/7/22, 35, 14, 12, 4, , 
2019/7/23, 42, 11, 7, 5, , 
2019/7/24, 37, 9, 11, 2, , 
2019/7/25, 23, 12, 7, 10, , 
2019/7/26, 45, 11, 9, 7, , 
2019/7/27, 37, 5, 6, 11, , 
2019/7/28, 52, 8, 7, 3, , 
2019/7/29, 22, 12, 5, 10, , 
2019/7/30, 38, 11, 10, 5, , 
2019/7/31, 35, 12, 6, 13, , 
2019/8/1, 42, 10, 7, 4, , 
2019/8/2, 28, 8, 12, 4, , 
2019/8/3, 33, 12, 5, 7, , 
2019/8/4, 48, 13, 6, 6, , 
2019/8/5, 39, 16, 9, 10, , 
2019/8/6, 52, 19, 7, 11, , 
2019/8/7, 63, 18, 7, 9, , 
2019/8/8, 52, 12, 11, 5, , 
2019/8/9, 31, 11, 9, 7, , 
2019/8/10, 22, 12, 8, 5, , 
2019/8/11, 30, 7, 8, 3, , 
2019/8/12, 27, 7, 6, 6, , 
2019/8/13, 27, 12, 6, 11, , 
2019/8/14, 42, 12, 6, 9, , 
2019/8/15, 48, 14, 5, 10, , 
2019/8/16, 47, 14, 7, 6, , 
2019/8/17, 43, 12, 5, 7, , 
2019/8/18, 39, 7, 10, 3, , 
2019/8/19, 30, 11, 11, 5, , 
2019/8/20, 28, 12, 7, 7, , 
2019/8/21, 37, , 4, 12, , 
2019/8/23, 49, 14, 4, 8, , 
2019/8/24, 42, 9, 11, 2, , 
2019/8/25, 36, 9, 11, 3, , 
2019/8/26, 36, 12, 6, 9, , 
2019/8/27, 45, 16, 3, 6, , 
2019/8/28, 41, 15, 4, 6, , 
2019/8/29, 33, 17, 15, 5, , 
2019/8/30, 39, 12, 8, 6, , 
2019/8/31, 27, 10, 9, 5, , 
2019/9/1, 24, 10, 9, 5, , 
2019/9/2, 23, 9, 7, 5, , 
2019/9/3, 24, 12, 7, 6, , 
2019/9/4, 31, 15, 6, 7, , 
2019/9/5, 39, 14, 4, 7, , 
2019/9/6, 36, 17, 13, 5, , 
2019/9/7, 35, 11, 8, 6, , 
2019/9/8, 24, 6, 6, 3, , 
2019/9/9, 17, 8, 5, 4, , 
